D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;;
0,0,0,33,0,0,0,69,0,765,2095,0,2191,27,45,0,0,0,280,0,0,14782,0,746,8,0,0,0,0,3056,16119,35,4162,2837,0,19,30,6,1405,0,19838,83741,72334,5893,0,49,1581,15375,35,30655,56625,47857,0,0,0,Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina californica
0,0,1171,3406,62,3781,0,0,0,2874,3427,3209,3499,1786,5685,75068,53111,66788,0,0,4805,1059,1331,976,4924,4748,469,0,1547,542,3485,7706,1311,561,0,958,6417,1143,0,2408,1805,2988,0,2005,225,2228,677,9351,3569,1902,320,1906,26063,19374,19706,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea
0,0,0,2709,2818,1179,0,0,0,2668,0,0,1672,1476,590,3116,0,2672,1233,0,0,0,46,6134,1192,0,0,0,0,816,0,6480,0,1438,6307,312,2583,1638,870,5187,185,2719,2375,19331,12601,596,64199,100839,32926,1539,34,2270,3042,14082,10930,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus
0,195,2534,3763,27171,89448,1825,10563,8717,0,2226,9184,6540,11776,13005,237,107,0,1357,9074,76,38152,0,52314,8978,955,397,639,0,343,2898,19831,16144,5331,0,0,1486,8010,192965,1567,35,438,0,481,1479,35,0,109,7551,16906,71148,46530,42,0,0,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
0,9854,755,2532,9354,10950,0,0,0,0,3109,3405,2389,5206,3511,0,0,2500,0,5315,4991,0,6490,16687,25659,0,0,0,2207,3184,7094,10263,16214,9184,0,0,0,193,1910,1512,19072,17545,25298,942,9503,1886,0,10072,3220,25094,13589,6591,0,0,0,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
1676,418,1409,10103,8651,13169,1145,4396,281,3135,8983,11741,16241,20056,7533,535,138,327,4278,1081,4272,507,996,6900,7137,1441,0,450,1469,1725,10370,7225,1150,8734,4310,4621,9428,1008,3942,1546,969,2768,548,3743,3541,2630,7644,2800,9568,2528,7945,3801,1109,23728,9499,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
49,290,6419,5648,5887,12132,1229,0,1802,0,15053,10987,9890,19350,12602,438,0,0,2539,0,0,0,0,33,4040,0,2106,0,1664,0,0,2707,3415,5173,964,1169,1310,0,0,0,2905,19810,5718,671,16681,7447,0,3266,5494,0,0,8415,0,0,25177,Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci
7424,144,1413,6193,9308,7431,3294,370,355,1186,4222,4305,7551,7929,6227,15458,2394,9280,1273,760,871,483,1766,1846,1201,0,569,0,0,3337,3971,3344,2954,824,23352,19131,17260,224,920,758,350,1231,1192,2738,1884,2935,2667,8868,4348,352,917,1649,7218,13683,10011,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus
646,4352,1937,6097,6543,10196,937,994,318,2521,6482,6891,10040,13224,5910,8974,9233,12634,0,0,0,582,2047,584,2500,1604,1333,270,0,2747,2899,0,2004,1255,22171,14918,16681,312,0,2678,0,578,0,813,379,3087,1347,4095,5113,669,2353,146,5997,15791,9840,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador
0,0,774,2725,305,542,0,0,0,0,0,0,2130,2775,4173,0,2417,0,3006,0,0,1473,5824,18643,4533,0,0,0,453,895,1460,6803,11573,4747,171,1055,4322,1350,0,12815,15016,7089,5801,673,1070,644,5793,11445,4704,14744,19014,6398,933,5431,466,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
0,0,441,7622,4204,7108,315,0,906,997,293,0,7269,4139,4538,2689,912,519,0,0,0,1222,5135,9998,7471,0,243,758,518,2669,5172,2958,4121,3009,1751,2827,549,0,3151,1554,16244,14753,25175,904,2427,1553,8184,5946,2162,6767,6649,12201,0,2729,424,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer
15649,3727,1327,771,2484,857,0,5178,1352,2106,2442,1051,4654,5267,597,3686,3750,1083,3119,3694,4813,0,6914,1220,3736,3132,6028,905,2061,2940,6477,567,1247,712,0,144,2632,1906,7230,1232,3623,2074,5112,4362,6386,21297,78,3829,888,329,2097,254,3871,6377,5365,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,3991,2490,6169,6339,7151,5447,0,1048,2335,602,3712,1686,8034,5054,19196,7469,9783,372,2213,6028,1138,832,1404,4911,6372,2337,0,1324,896,9827,2000,672,3445,5497,3608,10724,3558,7740,8525,3722,0,2543,5829,4525,494,10960,15117,9105,857,4569,2156,4302,7137,6513,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
14641,17690,31810,61128,50309,48576,48619,6660,0,38261,39441,58014,72381,111591,65359,11421,8315,7280,3818,942,4726,302,7754,6280,1120,5627,2600,0,47,11775,11360,5555,1446,5897,13911,38861,23209,2737,8549,16056,7893,3088,9417,8777,15571,3863,20707,40076,85986,3258,9646,4565,105266,140675,182695,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,871,0,2161,1832,2451,0,0,0,123,1041,1241,575,385,1822,462,0,758,0,1089,352,0,3456,12791,10428,504,871,581,238,2821,1049,3538,9943,284,6709,654,8285,387,0,4723,37348,13554,17843,4564,1481,2491,7380,7905,5093,22807,18079,30288,3651,3129,8298,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus
445,138,233,519,903,1698,1090,240,600,204,335,294,396,1670,619,982,676,3018,513,220,585,2024,488,4584,4443,806,403,456,150,697,2130,3979,1917,1663,1357,674,1009,977,7583,2436,14454,28497,31997,1116,2536,3755,4217,3727,2319,17110,46870,17202,1420,2271,2039,
0,0,0,2193,0,486,4819,0,433,1269,0,601,2271,4110,1221,0,0,1026,0,692,0,4346,3327,8329,4251,433,1319,0,577,1231,0,19878,3048,0,0,0,2392,1264,8466,19301,6389,14611,0,5067,5967,7680,0,1205,0,0,11607,3450,0,0,15575,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
0,0,5393,2620,4863,5776,2336,0,0,1414,3017,5419,4787,4133,10975,13068,3085,7181,0,1009,1086,67,0,495,1710,0,0,0,1140,2928,6119,0,1575,341,3091,4702,8713,814,0,0,0,0,0,1677,1445,0,6654,1662,3733,74,0,7246,7796,4665,5233,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus
2371,336,0,1073,2573,1502,1077,0,0,132,3379,2155,2968,5808,3144,4638,2660,6013,0,227,2161,713,0,1315,0,260,1223,0,1053,2327,7355,3495,1630,1373,4695,5460,3833,373,0,438,0,0,0,1891,1534,2159,1765,345,3060,0,0,74,5091,0,4675,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Triakis;Triakis semifasciata
0,0,2579,1334,3102,413,0,0,0,1649,596,1847,3456,12312,4556,10212,0,4108,0,0,0,1562,0,0,0,0,0,0,0,2048,0,0,812,986,6774,12046,4044,0,6488,0,0,0,0,16,1943,0,0,0,2600,0,0,0,14408,6492,0,Eukaryota;Chordata;Chondrichthyes;Pristiformes/Rhiniformes group;Rhinobatidae;Pseudobatos;Pseudobatos productus
5326,0,5627,0,3040,1645,291,3114,2247,1801,686,1206,972,5075,900,1436,255,3728,6309,13759,13420,0,0,0,0,11888,3363,9529,734,396,727,1184,0,0,239,0,0,0,2617,4097,0,0,0,0,1441,482,0,3901,2816,0,0,0,3066,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;;
0,0,722,4091,843,4307,0,0,0,1447,2523,0,0,257,2822,0,675,1161,0,0,0,1807,10013,3215,3809,0,0,0,1262,1408,0,13923,557,0,670,3471,0,135,3887,4217,3933,1277,4297,1301,0,0,5468,10263,1075,0,4214,3604,0,727,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca
6383,1797,1345,6377,2656,3443,1887,1190,0,358,4229,454,5534,3706,2706,330,67,2409,2134,0,3361,0,5934,66,1318,0,585,0,699,1703,476,1291,903,1212,2589,629,1255,697,2694,1015,0,813,0,5823,1216,1173,0,753,974,2088,2911,3716,1212,6185,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii
58,2159,7116,4715,9,83,6700,3819,5883,0,0,1740,639,1374,25,0,0,0,372,1956,0,278,37,37,977,13,3100,0,1309,3926,707,836,1452,3944,2896,2394,967,5007,0,1429,0,850,274,49,1039,15978,15519,4065,0,15,25,0,44,2770,2099,Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus
124629,71572,50740,26546,26017,22924,60672,131790,31382,13679,24439,18822,23058,22355,35520,18806,1860,9109,127078,83782,157506,7993,44079,55567,81230,173242,119370,100739,36880,106112,100459,65846,30333,21664,14622,15449,22158,12655,59776,48457,28840,52638,33801,46641,36147,44831,33677,50438,40715,22782,40901,41927,35159,46448,28367,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
125,6443,0,5444,594,2599,5379,232,1203,2572,5881,1372,4767,1136,254,4373,0,5381,0,4741,58,836,409,3685,1697,95,0,0,168,3613,1701,3014,603,0,1590,2345,3122,3256,6651,9178,2666,135,0,6741,5608,7764,652,6597,4928,0,349,1297,1945,2920,753,Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum
0,0,0,5582,5442,593,0,0,0,0,0,0,7389,0,0,0,0,0,0,0,0,3302,0,399,12855,0,0,0,2829,0,0,0,0,0,314,0,0,0,0,0,7168,6151,5262,0,0,5064,31,0,0,13534,318,9026,0,0,0,Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
9478,312,0,1477,836,2517,0,0,0,2297,2937,3986,41,0,5243,6535,264,1925,0,0,0,673,0,0,1614,0,0,1287,0,0,1391,71,0,0,4855,2115,2086,0,2602,0,0,0,0,0,2946,0,1607,0,3138,0,0,0,4838,2047,6298,Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gilberti
0,0,0,1442,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,4291,7731,0,0,0,0,0,406,0,4077,0,0,0,0,0,0,0,0,7802,10357,0,0,0,0,0,5425,0,6597,26200,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,100,9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa
0,0,0,858,3780,2999,0,0,0,272,0,0,303,34,391,670,0,838,236,0,0,1772,1430,0,0,0,757,0,0,0,0,0,498,344,3169,1941,3291,142,1947,2710,48,0,0,2025,104,181,74,1323,5775,3298,458,2744,0,16116,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus
0,0,0,0,3024,2492,0,0,0,0,1494,1036,1417,0,333,6219,0,3646,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2208,19684,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,2191,12423,Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil cephalus
0,0,0,5017,4458,0,4736,0,0,129,0,0,1997,1520,52,0,1623,0,113,0,0,0,0,3206,6062,0,508,0,0,850,0,357,4077,1719,0,943,0,302,3824,0,949,0,0,0,0,1846,0,4092,0,0,2812,844,4005,0,414,Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi
0,0,0,1848,0,1275,0,0,0,0,2976,831,993,0,0,0,0,0,537,0,6070,3248,4547,1249,0,0,5925,0,0,1675,0,3970,505,3245,0,265,203,422,0,895,2751,190,1134,3159,1484,1003,0,0,3206,525,395,2187,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Typhlogobius;Typhlogobius californiensis
0,0,0,0,0,2380,0,0,0,0,0,0,0,0,0,2766,0,1437,0,0,0,0,4522,1094,1119,0,0,0,0,0,2312,0,0,539,3293,0,2174,0,0,0,9593,6898,1650,0,0,309,276,3025,739,3904,0,608,1524,6399,3764,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
13797,3200,4967,104072,32876,19506,7155,973,177,499,2089,2931,24654,25878,14466,0,1334,0,4600,2618,9033,11637,31707,66173,46577,652,2292,4912,7885,28094,5611,113529,102340,44995,0,0,0,799,15142,12540,90024,74881,67104,18034,70810,7813,18976,13366,18096,43580,59547,54576,2495,7500,3593,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
944,0,932,577,0,541,639,1469,764,0,0,0,0,0,0,2014,99,9072,576,1049,383,1032,0,0,1090,2195,2641,1664,0,318,167,185,936,113,3554,1646,2519,17,0,0,0,1015,43,732,317,1984,78,6798,0,254,52,102,45,209,4687,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cynoglossidae;Symphurus;Symphurus atricaudus
0,0,204,46,426,359,0,602,0,0,0,1120,0,2192,0,1417,148,601,0,0,497,0,1488,11678,3771,460,0,0,0,6770,956,3490,402,2024,3394,2277,412,854,2063,6148,1601,3164,92,3327,4571,207,559,0,3151,4654,579,2000,6245,2584,996,Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
0,1630,0,0,1529,875,0,0,0,0,0,2850,122,1731,1779,0,0,0,3391,0,0,0,1735,583,431,0,0,0,0,0,0,0,0,1146,1068,0,3097,0,0,652,0,4648,1856,0,558,879,1323,2677,3732,0,1400,1840,1893,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes
0,0,0,0,2641,4885,6516,0,0,1315,0,212,7819,5570,1610,0,0,0,2675,0,0,268,0,270,4135,0,0,0,0,0,0,198,0,2534,4718,0,2765,0,0,1689,0,0,0,923,142,0,0,2569,0,0,0,0,2722,17,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis
17,0,282,226,0,675,0,0,0,157,1601,462,0,0,1693,30,3512,28,0,812,0,0,0,0,0,0,0,0,0,0,499,0,0,0,6493,5553,3208,0,6994,0,0,0,0,1322,569,2934,1941,0,6340,0,656,0,0,0,892,Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
0,0,0,0,0,115,0,0,0,0,0,0,0,1460,376,90,0,238,0,0,0,0,0,988,1522,0,3979,0,0,0,0,3721,475,308,0,0,0,0,0,0,4597,7887,1966,0,0,0,0,8357,0,0,203,1637,962,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata
0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5007,195,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,4009,0,9591,616,0,0,0,0,10042,218,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Oxylebius;Oxylebius pictus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31397,1781,Eukaryota;Chordata;Aves;Charadriiformes;Charadriidae;Pluvialis;Pluvialis dominica
0,0,0,2532,2081,1801,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,3130,0,932,313,0,0,0,0,0,3410,0,0,0,0,0,374,0,0,0,0,2768,0,0,2731,0,0,4732,1700,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hypsurus;Hypsurus caryi
0,1678,0,487,0,2165,0,5984,0,263,307,0,228,97,391,0,1140,805,0,0,0,0,0,838,0,0,0,0,0,389,0,839,0,202,1247,1990,473,0,2948,0,0,1091,0,0,0,765,0,0,0,407,0,0,0,4013,1949,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis
27466,1222,784,33707,37338,25460,1508,0,0,2696,18524,10767,31685,36539,24971,61359,97450,50980,0,826,377,3529,2390,2307,8282,0,1810,2344,2338,3065,6141,7376,1504,3048,80398,39112,81263,2143,10277,7983,418,1893,386,1518,1866,4402,2554,15954,15358,230,0,8127,153144,174606,161386,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus
3108,0,0,0,0,971,70,0,0,268,276,0,0,3628,0,0,0,0,0,0,0,0,0,0,1928,0,1515,0,0,0,0,0,0,268,0,0,333,243,0,5945,0,774,0,1059,0,0,0,0,1065,2619,0,564,0,0,0,Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
0,0,0,4427,3297,0,0,0,0,0,312,135,0,0,620,11,0,0,78,0,0,0,0,2828,0,46,0,0,0,0,982,0,0,0,0,0,1858,217,0,0,0,58,0,0,1030,524,0,6061,0,0,0,0,1246,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus
0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,980,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15824,Eukaryota;Chordata;Aves;Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus occidentalis
0,0,0,0,766,0,0,2499,0,0,0,0,0,0,0,1132,0,1972,1321,0,0,0,0,200,1683,0,0,0,0,0,0,0,0,0,0,0,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,7761,0,0,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;Syngnathus leptorhynchus
0,0,0,0,0,365,0,0,0,0,57,0,0,0,973,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,720,2814,0,0,0,0,0,0,468,0,0,0,0,1973,0,0,0,0,Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus
0,0,0,0,0,1381,0,0,0,367,99,0,696,0,0,1637,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,39,0,43,0,745,0,11348,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca;
0,0,0,0,157,0,0,0,0,0,0,67,0,0,0,3141,102,0,0,0,0,0,0,159,1281,0,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,267,0,1669,59,0,0,0,3854,1892,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus analis
0,0,0,0,0,185,0,0,0,0,47,93,0,1555,362,139,0,0,0,0,0,1133,4,513,893,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,731,0,738,0,0,0,0,0,0,0,0,0,0,2445,6818,Eukaryota;Chordata;Chondrichthyes;;Platyrhinidae;Platyrhinoidis;Platyrhinoidis triseriata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,1388,0,0,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,1980,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,1709,0,2701,1799,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
